originId,label,ipBlocking,appliedBundle,status,lastSyncStatus,lastSync,version,osVersion,osVersionName,type
606498599,LAP-349-001,Disabled,14360147,Off,VA,2024-05-30 15:07:55,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
606553024,LAP-401-002,Disabled,3901156,VA,VA,2024-06-05 09:21:21,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
606579794,LAP-BIJ-001,Disabled,3901056,Off,VA,2024-06-04 17:33:02,3.0.466,Microsoft Windows [version 10.0.22621.2428],Windows 11,roaming
607248595,LAP-COMPTA-02,Disabled,3901056,VA,VA,2024-06-05 09:07:09,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
607384360,LAP-401-8,Disabled,3901056,VA,VA,2024-06-05 09:03:24,3.0.466,Microsoft Windows [version 10.0.22621.2861],Windows 11,roaming
608132042,LAP-RH-002,Disabled,3901056,VA,VA,2024-06-05 09:19:52,3.0.466,Microsoft Windows [version 10.0.22631.3593],Windows 11,roaming
608136302,LAP-ACHATS-023,Disabled,3901056,VA,VA,2024-06-05 09:19:54,3.0.466,Microsoft Windows [version 10.0.22631.3593],Windows 11,roaming
608697559,LAP-SUPP-005,Disabled,3901056,VA,VA,2024-06-05 09:13:28,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
608750489,LAP-ALEXANDRA-M,Disabled,4126782,Encrypted,Encrypted,2024-06-05 09:13:32,3.0.466,Microsoft Windows [version 10.0.22631.3593],Windows 11,roaming
608868014,LAP-421-17,Disabled,3901156,VA,VA,2024-06-05 09:22:32,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
610181997,LAP-CPTA-110,Disabled,3901056,Off,VA,2024-06-04 16:43:23,3.0.466,Microsoft Windows [version 10.0.22631.3296],Windows 11,roaming
610482221,LAP-GST-006,Disabled,3901056,VA,VA,2024-06-05 09:17:13,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
612437924,LAP-IT-023,Disabled,3901056,VA,VA,2024-06-05 09:14:00,5.1.1,Microsoft Windows NT 10.0.22631.0,Windows 11,anyconnect
612758119,TAB-428-001,Disabled,3901156,Off,VA,2024-01-22 13:34:11,3.0.466,Microsoft Windows [version 10.0.22000.2416],Windows 11,roaming
612861206,TAB-438-001,Disabled,3901156,VA,VA,2024-06-05 04:45:01,3.0.466,Microsoft Windows [version 10.0.22621.2428],Windows 11,roaming
612938986,TAB-408-001,Disabled,3901156,VA,VA,2024-06-05 08:56:23,3.0.466,Microsoft Windows [version 10.0.22621.2428],Windows 11,roaming
613398778,LAP-ACH-20,Disabled,3901056,VA,VA,2024-06-05 09:20:08,3.0.466,Microsoft Windows [version 10.0.22631.3593],Windows 11,roaming
613434871,LAP-INFO-012,Disabled,4126782,Off,Encrypted,2024-05-30 22:34:02,3.0.466,Microsoft Windows [version 10.0.22631.3593],Windows 11,roaming
613656278,LAP-RH-105,Disabled,3901056,Off,VA,2024-05-30 12:13:20,5.1.1,Microsoft Windows NT 10.0.22631.0,Windows 11,anyconnect
615793377,TPV-508-001,Disabled,14365264,Encrypted,Encrypted,2024-06-05 08:57:23,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
615798094,TPV-501-001,Disabled,14360147,VA,VA,2024-06-05 09:03:47,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
615853805,TPV-518-001,Disabled,14365264,Encrypted,Encrypted,2024-06-05 09:06:36,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
615909989,TPV-509-001,Disabled,14360147,VA,VA,2024-06-05 08:59:22,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
615910741,LAP-ACH-21,Disabled,3901056,Off,VA,2024-04-25 09:04:29,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
615969742,TPV-507-001,Disabled,14360147,VA,VA,2024-06-05 09:01:17,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
615970208,TPV-513-001,Disabled,14360147,VA,VA,2024-06-05 09:00:52,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
616065914,TPV-505-001,Disabled,14360147,Off,VA,2024-06-04 17:44:21,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
616068158,TPV-510-001,Disabled,14360147,VA,VA,2024-06-05 09:21:01,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
616148711,TPV-502-002,Disabled,14360147,VA,VA,2024-06-05 09:11:09,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
616152140,TPV-502-001,Disabled,14365264,Off,Encrypted,2024-06-04 09:38:20,3.0.466,Microsoft Windows [version 10.0.17763.5830],Windows 10,roaming
616237621,TPV-504-001,Disabled,14360147,Off,VA,2024-06-04 17:40:04,3.0.466,Microsoft Windows [version 10.0.17763.5830],Windows 10,roaming
616256645,TPV-517-001,Disabled,14360147,VA,VA,2024-06-05 09:18:43,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
616350472,TPV-515-001,Disabled,14360147,VA,VA,2024-06-05 09:01:30,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
616355619,LAP-MKTG-S-005,Disabled,3901056,VA,VA,2024-06-05 08:51:23,3.0.466,Microsoft Windows [version 10.0.19045.4412],Windows 10,roaming
616355968,TPV-503-001,Disabled,14365264,Encrypted,Encrypted,2024-06-05 09:00:21,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
616442222,TPV-514-001,Disabled,14360147,VA,VA,2024-06-05 08:59:06,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
616460130,TPV-506-001,Disabled,0,Open,Open,2024-06-05 09:22:51,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
616607652,TPV-512-001,Disabled,14365264,Encrypted,Encrypted,2024-06-05 09:11:27,5.1.1,Microsoft Windows NT 10.0.17763.0,Windows 10,anyconnect
616610173,LAP-428-2,Disabled,14360147,VA,VA,2024-06-05 07:48:42,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
617139897,LAP-DIR-ACHATS,Disabled,4126782,Off,Encrypted,2023-11-22 11:56:17,3.0.466,Microsoft Windows [version 10.0.22621.2715],Windows 11,roaming
617826440,LAP-418-2,Disabled,3901156,VA,VA,2024-06-05 09:06:32,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
617898568,LAP-155-001,Disabled,0,Open,Open,2024-06-05 05:27:05,3.0.466,Microsoft Windows [version 10.0.22621.2792],Windows 11,roaming
617950218,DESKTOP-A89L2G8,Disabled,4126782,Off,Encrypted,2023-12-15 08:41:21,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
617951268,TPV-007-001,Disabled,4126698,VA,VA,2024-06-05 09:02:58,3.0.466,Microsoft Windows [version 10.0.17763.5830],Windows 10,roaming
617951625,TPV-346-001,Disabled,14360147,VA,VA,2024-06-05 09:09:11,3.0.466,Microsoft Windows [version 10.0.17763.5830],Windows 10,roaming
617952296,LP-349-2,Disabled,14365264,Off,Encrypted,2024-01-08 08:56:14,3.0.466,Microsoft Windows [version 10.0.19045.3803],Windows 10,roaming
617953239,LP-418-4,Disabled,3901156,VA,VA,2024-06-05 09:15:00,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
618009366,LAP-007-1,Disabled,4126698,Off,VA,2024-04-22 09:07:07,3.0.466,Microsoft Windows NT 6.1.7601 Service Pack 1,Windows 7,roaming
