Nom,Entité,Modèle,Numéro de série
LP-334-2,Parc LP > LP MAG,OptiPlex 5270 AIO,2FZFJ23
LP-336-2,Parc LP > LP MAG,OptiPlex 3280 AIO,5DL9YJ3
LP-337-3,Parc LP > LP MAG,OptiPlex 9020,GSBN992
LP-347-2,Parc LP > LP MAG,OptiPlex 5270 AIO,84LZPZ2
LP-349-2,Parc LP > LP MAG,OptiPlex 5270 AIO,F23RK42
LP-350-01,Parc LP > LP MAG,OptiPlex 5270 AIO,B6LZPZ2
LP-401-7,Parc LP > LP MAG,OptiPlex 3280 AIO,7DL9YJ3
LP-406-2,Parc LP > LP MAG,OptiPlex 3050 AIO,HJQ6WS2
LP-406-7,Parc LP > LP MAG,OptiPlex 3280 AIO,8JMRF92
LP-412-3,Parc LP > LP MAG,OptiPlex 3050 AIO,BXBT4W2
LP-412-4,Parc LP > LP MAG,OptiPlex 3050 AIO,BQY6XP2
LP-414-3,Parc LP > LP MAG,OptiPlex 5270 AIO,843RK42
