Device name,Latest risk score,Operating system,IP address,Last user,Highly-exploitable CVEs,Discovered by,First seen,Last detected
LAP-DIR-OFFRE,27,Windows 10 10.0 (Build 19045),10.3.6.16,Système,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-03-30 15:04:15,2023-11-02 10:22:46
LAP-MKTG-05,27,Windows 10 10.0 (Build 19045),10.3.103.12,Système,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-02-16 20:06:09,2023-10-31 12:53:24
LAP-MKTG-014,27,Windows 11 10.0 (Build 22621),10.3.103.24,Système,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-12-21 15:34:55,2023-11-01 17:11:10
LAP-SUP-107,26,Windows 11 10.0 (Build 22000),10.3.103.102,,0,Apex One as a Service,2021-09-21 22:15:39,2023-11-02 08:09:29
LAP-351-1,26,Windows 11 10.0 (Build 22621),10.3.103.43,Système,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2023-02-28 12:38:18,2023-11-02 08:56:42
10.1.4.81,0,,10.1.4.81,,0,Apex One as a Service,2023-09-22 02:51:26,2023-10-29 15:34:25
TPV-106-001,0,Windows 10 10.0 (Build 17763),10.1.106.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2023-01-12 06:47:06,2023-08-16 08:09:13
10.1.80.80,0,,10.1.80.80,,0,Trend Vision One Endpoint Sensor,2023-07-14 08:30:07,2023-10-31 14:33:57
LP-421-15,0,Windows 10 10.0 (Build 19045),10.2.121.2,,0,Apex One as a Service,2021-09-21 22:09:22,2023-08-17 07:23:34
LP-145-5,0,Windows 10 10.0 (Build 19045),10.1.145.5,,0,Apex One as a Service,2021-09-29 05:29:28,2023-08-16 15:53:31
TPV-066-001,0,Windows 10 10.0 (Build 17763),10.1.66.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-04-12 10:56:27,2023-08-16 08:24:41
BRWDCE9945811A3,0,,10.3.0.64,,0,Trend Vision One Endpoint Sensor,2023-07-28 07:38:31,2023-10-31 18:16:46
TPV-215-002,0,Windows 10 10.0 (Build 17763),10.1.215.2,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-11-29 18:28:27,2023-08-16 08:08:09
TPV-055-001,0,Windows 10 10.0 (Build 17763),10.1.55.1,,0,Apex One as a Service,2022-09-14 06:16:38,2023-08-16 07:53:44
LP-307-3,0,Windows 10 10.0 (Build 19045),10.2.7.2,,0,Apex One as a Service,2021-09-21 22:17:03,2023-08-16 08:37:54
TPV-414-002,0,Windows 10 10.0 (Build 17763),"10.2.114.5, 10.2.114.6",,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-09-08 14:58:37,2023-08-16 15:54:32
TPV-196-3,0,Windows 10 10.0 (Build 17763),10.1.196.4,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-11-18 04:36:49,2023-08-16 02:08:41
DESKTOP-IP4USDE,0,Windows 10 10.0 (Build 19044),192.168.10.131,,0,Trend Vision One Agent,2023-04-07 10:36:00,2023-11-02 10:30:49
10.1.37.80,0,,10.1.37.80,,0,Trend Vision One Endpoint Sensor,2023-07-17 13:19:37,2023-10-31 12:22:32
dns.msftncsi.com,0,,192.168.1.1,,0,Trend Vision One Endpoint Sensor,2023-09-19 17:08:34,2023-10-31 18:11:24
LEARNING,0,Windows 10 10.0 (Build 19044),192.168.1.110,,0,Apex One as a Service,2023-05-03 07:52:09,2023-09-20 01:32:40
TPV-230-001,0,Windows 10 10.0 (Build 17763),10.1.230.4,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-09-10 07:09:41,2023-08-16 15:35:06
LAP-042-1,0,Windows 10 10.0 (Build 19045),10.1.42.4,,0,Apex One as a Service,2023-10-21 11:10:59,2023-10-22 01:31:41
LAP-315-1,0,Windows 10 10.0 (Build 19045),10.2.15.3,,0,Apex One as a Service,2022-03-10 14:30:56,2023-08-17 11:53:52
TPV-003-2,0,Windows 10 10.0 (Build 17763),10.1.3.3,,0,Apex One as a Service,2023-01-12 06:47:03,2023-08-16 16:00:37
TPV-193-001,0,Windows 10 10.0 (Build 17763),10.1.193.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-11-18 04:36:49,2023-08-16 08:02:58
